sample low_sweeps factor_ms split_ms refine2_ms refine4_ms finite0 finite2 finite4 physical0 physical2 physical4 classify_ms
64 50 0.82682900000000004 0.044430999999999998 0.18344299999999999 0.168352 14 14 14 0 0 0 0.42309200000000002
65 50 0.82283200000000001 0.043529999999999999 0.18466399999999999 0.17149600000000001 14 14 14 0 0 0 0.46680500000000003
66 50 0.82479999999999998 0.044763999999999998 0.18221999999999999 0.17053099999999999 14 14 14 0 0 0 0.46619299999999997
67 50 0.82419500000000001 0.043984000000000002 0.18215000000000001 0.169318 14 14 14 0 0 0 0.43569400000000003
68 42 0.70453100000000002 0.045197000000000001 0.191744 0.17710000000000001 14 14 14 0 0 0 0.0077510000000000009
69 42 0.71453100000000003 0.047115999999999998 0.18973400000000001 0.18002499999999999 14 14 14 0 0 0 0.0079080000000000001
70 42 0.71227499999999999 0.045939000000000001 0.18962799999999999 0.17882000000000001 14 14 14 0 0 0 0.0080140000000000003
71 42 0.71455500000000005 0.046518999999999998 0.189141 0.18060699999999999 14 14 14 0 0 0 0.0078659999999999997
72 47 0.80648500000000001 0.045354999999999999 0.18981999999999999 0.175256 14 14 14 0 0 0 0.42748799999999998
73 47 0.78526700000000005 0.045532999999999997 0.18445400000000001 0.17403299999999999 14 14 14 0 0 0 0.363174
74 47 0.78112000000000004 0.049624000000000001 0.18579499999999999 0.174985 14 14 14 0 0 0 0.34847099999999998
75 47 0.786551 0.044086 0.18430299999999999 0.17553299999999999 14 14 14 0 0 0 0.291269
76 42 0.70798399999999995 0.048502000000000003 0.19379399999999999 0.18031800000000001 14 14 14 0 0 0 0.0079690000000000004
77 42 0.71435300000000002 0.045929999999999999 0.19140599999999999 0.17934800000000001 14 14 14 0 0 0 0.0080769999999999991
78 42 0.71199900000000005 0.046241999999999998 0.19294500000000001 0.18024399999999999 14 14 14 0 0 0 0.0080399999999999985
79 42 0.70770699999999997 0.045414999999999997 0.18985399999999999 0.17755099999999999 14 14 14 0 0 0 0.0079069999999999991
80 44 0.75372700000000004 0.048735000000000001 0.19773099999999999 0.18208199999999999 14 14 14 0 0 0 0.0075669999999999999
81 44 0.76600100000000004 0.049369999999999997 0.198237 0.18817500000000001 14 14 14 0 0 0 0.0076240000000000006
82 44 0.76226400000000005 0.045367999999999999 0.19213 0.18033099999999999 14 14 14 0 0 0 0.007352
83 44 0.75773400000000002 0.046462999999999997 0.193269 0.180504 14 14 14 0 0 0 0.007502
84 44 0.75295000000000001 0.045333999999999999 0.19234100000000001 0.18596499999999999 14 14 14 0 0 0 0.0075919999999999998
85 44 0.74982499999999996 0.045633 0.19553300000000001 0.18098 14 14 14 0 0 0 0.0074740000000000006
86 44 0.75230399999999997 0.045829000000000002 0.19051299999999999 0.17558000000000001 14 14 14 0 0 0 0.0075960000000000003
87 44 0.75342200000000004 0.045386999999999997 0.19295300000000001 0.18048500000000001 14 14 14 0 0 0 0.0073530000000000002
88 45 0.77943300000000004 0.046400999999999998 0.19215699999999999 0.178846 14 14 14 0 0 0 0.0076759999999999988
89 45 0.77550600000000003 0.048656999999999999 0.19648199999999999 0.18051 14 14 14 0 0 0 0.0077420000000000006
90 45 0.77592700000000003 0.046710000000000002 0.19012299999999999 0.17962700000000001 14 14 14 0 0 0 0.0058560000000000001
91 46 0.79589500000000002 0.047931000000000001 0.196379 0.184003 14 14 14 0 0 0 0.0069459999999999999
92 48 0.844086 0.047294999999999997 0.18562400000000001 0.17471500000000001 14 14 14 0 0 2 0.340333
93 46 0.80310199999999998 0.045836000000000002 0.18561 0.17508199999999999 14 14 14 0 0 2 0.24175199999999997
