sample	stage	finite	max_scaled_root_error	nearest_assignment_duplicates	positive_real_candidate_count_delta
58	0	True	0.009620689078027666	7	-4
58	2	True	0.002497639888832923	7	-4
58	4	True	0.0021643816130519316	7	-4
59	0	True	0.009620676491987112	7	-4
59	2	True	0.002497644003007414	7	-4
59	4	True	0.0021643913622524324	7	-4
60	0	True	0.007450008676572511	6	-6
60	2	True	0.0018767670792550009	6	-6
60	4	True	0.0015713616286499108	6	-6
61	0	True	0.00745000012940766	6	-6
61	2	True	0.0018767649759455559	6	-6
61	4	True	0.0015713762113528334	6	-6
62	0	True	0.007449990361261751	6	-6
62	2	True	0.0018767625721751243	6	-6
62	4	True	0.0015713928593481656	6	-6
63	0	True	0.007449980593161172	6	-6
63	2	True	0.0018767601684172668	6	-6
63	4	True	0.0015714094882034076	6	-6
64	0	True	0.00011102244177446709	5	-6
64	2	True	5.9135361725184876e-05	5	-6
64	4	True	5.408202877137556e-05	5	-6
65	0	True	0.00011102231640406542	5	-6
65	2	True	5.88464547216471e-05	5	-6
65	4	True	5.3993730911413136e-05	5	-6
66	0	True	0.00011102217312418961	5	-6
66	2	True	5.852338276786709e-05	5	-6
66	4	True	5.3896837374643374e-05	5	-6
67	0	True	0.00011102202984492931	5	-6
67	2	True	5.83007888340848e-05	5	-6
67	4	True	5.380394734005178e-05	5	-6
68	0	True	0.010429517343273466	6	-6
68	2	True	0.002777163288971581	6	-6
68	4	True	0.002382502097652773	6	-6
69	0	True	0.010429505400356122	6	-8
69	2	True	0.0027771726757793045	6	-8
69	4	True	0.0023825180474333157	6	-8
70	0	True	0.010429491751366905	6	-8
70	2	True	0.0027771833635836735	6	-8
70	4	True	0.0023825362304854855	6	-8
71	0	True	0.010429478102440808	6	-8
71	2	True	0.0027771940087542124	6	-8
71	4	True	0.0023825543652587077	6	-8
72	0	True	0.0006715006579350339	5	-8
72	2	True	0.0002012756138038326	5	-8
72	4	True	0.00012050440603089277	4	-8
73	0	True	0.0006714998977736231	5	-8
73	2	True	0.00020215332477010198	5	-8
73	4	True	0.00012141233945418131	4	-8
74	0	True	0.0006714990290213139	5	-8
74	2	True	0.00020321991696766443	5	-8
74	4	True	0.00012251606825989102	4	-8
75	0	True	0.0006714981602728327	5	-8
75	2	True	0.00020436838830154857	5	-8
75	4	True	0.00012370509889728115	4	-8
76	0	True	0.00962071267701025	7	-4
76	2	True	0.002497632090532441	7	-4
76	4	True	0.0021643632323282347	7	-4
77	0	True	0.009620701664126298	7	-4
77	2	True	0.0024976357434115036	7	-4
77	4	True	0.002164371826390441	7	-4
78	0	True	0.009620689078027666	7	-4
78	2	True	0.002497639888832923	7	-4
78	4	True	0.0021643816130519316	7	-4
79	0	True	0.009620676491987112	7	-4
79	2	True	0.002497644003007414	7	-4
79	4	True	0.0021643913622524324	7	-4
80	0	True	0.18941465474858782	8	-6
80	2	True	0.1657604812640746	8	-6
80	4	True	0.1474167506629057	8	-6
81	0	True	0.1908828541370663	8	-6
81	2	True	0.16704636294025613	8	-6
81	4	True	0.14855976750789454	8	-6
82	0	True	0.1925815853124219	8	-6
82	2	True	0.16853416199227775	8	-6
82	4	True	0.14988227239545487	8	-6
83	0	True	0.19430282600742882	8	-6
83	2	True	0.17004169273341144	8	-6
83	4	True	0.15122232428241142	8	-6
84	0	True	0.20439699467643221	8	-6
84	2	True	0.17874776562201747	8	-6
84	4	True	0.1588221153872778	8	-6
85	0	True	0.20598867205078186	8	-6
85	2	True	0.1801408788287377	8	-6
85	4	True	0.16005943353200167	8	-6
86	0	True	0.2078300607494722	8	-6
86	2	True	0.18175259743170322	8	-6
86	4	True	0.16149094187894478	8	-6
87	0	True	0.20969562498038816	8	-6
87	2	True	0.18338552912351738	8	-6
87	4	True	0.1629413284833017	8	-6
88	0	True	0.07709063282830567	5	-4
88	2	True	0.06115023623076885	5	-4
88	4	True	0.05334426623048336	7	-4
89	0	True	0.07927916061346907	5	-4
89	2	True	0.06290519266370233	5	-4
89	4	True	0.05285565377304573	5	-4
90	0	True	0.08197840897039878	5	-4
90	2	True	0.06507088531592194	6	-5
90	4	True	0.05219536454306512	7	-5
91	0	True	0.0849205612586838	5	-4
91	2	True	0.06743290524444671	8	-5
91	4	True	0.05333804661770402	8	-4
92	0	True	1.1374625125774445	6	-4
92	2	True	0.9721354238996364	5	-4
92	4	True	0.863324630025084	5	-4
93	0	True	1.1337529310788281	6	-4
93	2	True	0.9653050134968929	5	-4
93	4	True	0.8570645430756967	5	-4
94	0	True	1.1258015193802726	6	-4
94	2	True	0.9546666019817763	5	-4
94	4	True	0.8476418098582282	5	-4
95	0	True	1.1139836792857856	6	-4
95	2	True	0.941104102213418	5	-4
95	4	True	0.8370896637792571	5	-4
96	0	True	0.036638855523545004	5	-4
96	2	True	0.03443300086423198	7	-4
96	4	True	0.03298740570972024	5	-2
97	0	True	0.036908269061134535	5	-4
97	2	True	0.0346828751949865	7	-4
97	4	True	0.033221531914535314	7	-2
98	0	True	0.037220235398833824	5	-4
98	2	True	0.03497214153868189	7	-4
98	4	True	0.03349250805547766	7	-2
99	0	True	0.037536606683102595	5	-4
99	2	True	0.03526541191177372	7	-4
99	4	True	0.03376717093509093	7	-2
100	0	True	0.18941465474858782	8	-6
100	2	True	0.1657604812640746	8	-6
100	4	True	0.1474167506629057	8	-6
101	0	True	0.1908828541370663	8	-6
101	2	True	0.16704636294025613	8	-6
101	4	True	0.14855976750789454	8	-6
102	0	True	0.1925815853124219	8	-6
102	2	True	0.16853416199227775	8	-6
102	4	True	0.14988227239545487	8	-6
103	0	True	0.19430282600742882	8	-6
103	2	True	0.17004169273341144	8	-6
103	4	True	0.15122232428241142	8	-6
104	0	True	0.20439699467643221	8	-6
104	2	True	0.17874776562201747	8	-6
104	4	True	0.1588221153872778	8	-6
105	0	True	0.20598867205078186	8	-6
105	2	True	0.1801408788287377	8	-6
105	4	True	0.16005943353200167	8	-6
106	0	True	0.2078300607494722	8	-6
106	2	True	0.18175259743170322	8	-6
106	4	True	0.16149094187894478	8	-6
107	0	True	0.20969562498038816	8	-6
107	2	True	0.18338552912351738	8	-6
107	4	True	0.1629413284833017	8	-6
108	0	True	0.07709063282830567	5	-4
108	2	True	0.06115023623076885	5	-4
108	4	True	0.05334426623048336	7	-4
109	0	True	0.07927916061346907	5	-4
109	2	True	0.06290519266370233	5	-4
109	4	True	0.05285565377304573	5	-4
110	0	True	0.08197840897039878	5	-4
110	2	True	0.06507088531592194	6	-5
110	4	True	0.05219536454306512	7	-5
111	0	True	0.0849205612586838	5	-4
111	2	True	0.06743290524444671	8	-5
111	4	True	0.05333804661770402	8	-4
112	0	True	1.1374625125774445	6	-4
112	2	True	0.9721354238996364	5	-4
112	4	True	0.863324630025084	5	-4
113	0	True	1.1337529310788281	6	-4
113	2	True	0.9653050134968929	5	-4
113	4	True	0.8570645430756967	5	-4
114	0	True	1.1258015193802726	6	-4
114	2	True	0.9546666019817763	5	-4
114	4	True	0.8476418098582282	5	-4
115	0	True	1.1139836792857856	6	-4
115	2	True	0.941104102213418	5	-4
115	4	True	0.8370896637792571	5	-4
116	0	True	0.036638855523545004	5	-4
116	2	True	0.03443300086423198	7	-4
116	4	True	0.03298740570972024	5	-2
117	0	True	0.036908269061134535	5	-4
117	2	True	0.0346828751949865	7	-4
117	4	True	0.033221531914535314	7	-2
118	0	True	0.037220235398833824	5	-4
118	2	True	0.03497214153868189	7	-4
118	4	True	0.03349250805547766	7	-2
119	0	True	0.037536606683102595	5	-4
119	2	True	0.03526541191177372	7	-4
119	4	True	0.03376717093509093	7	-2
120	0	True	2.642226869407661	9	-4
120	2	True	2.1732967502781744	9	-4
120	4	True	1.7680009456623758	9	-4
121	0	True	2.6255206544655905	9	-4
121	2	True	2.158666934728988	9	-4
121	4	True	1.7555071870560488	9	-4
122	0	True	2.6067747204581995	9	-4
122	2	True	2.1422588919332277	9	-4
122	4	True	1.7415125063053551	9	-4
123	0	True	2.588383330703564	7	-4
123	2	True	2.1261700811670368	7	-4
123	4	True	1.7278083325366758	7	-4
124	0	True	2.8115634527828326	8	-2
124	2	True	2.3212357542729714	8	-2
124	4	True	1.8947518428675896	8	-2
125	0	True	2.792394527142757	7	-2
125	2	True	2.304386369665865	7	-2
125	4	True	1.8801992445395495	7	-2
126	0	True	2.771040659591008	9	-2
126	2	True	2.2856214172142577	9	-2
126	4	True	1.8640159853082225	9	-2
127	0	True	2.750151556202707	9	-2
127	2	True	2.267266770292331	9	-2
127	4	True	1.8482059800046386	9	-2
128	0	True	2.5000735789184585	7	-4
128	2	True	2.0497273181612825	7	-4
128	4	True	1.6634937561354743	7	-4
129	0	True	2.4841962690865684	7	-4
129	2	True	2.035908310755666	7	-4
129	4	True	1.6517945584166014	7	-4
130	0	True	2.4662133449067625	7	-4
130	2	True	2.020255890352727	7	-4
130	4	True	1.6385428602024354	7	-4
131	0	True	2.448597185746545	7	-4
